1, 63403, Note_on_c, 0, 66, 80
1, 63678, Pitch_bend_c, 0, 121
1, 63704, Pitch_bend_c, 0, 1350
1, 63729, Pitch_bend_c, 0, 3036
1, 63755, Pitch_bend_c, 0, 5084
1, 63780, Pitch_bend_c, 0, 7156
1, 63806, Pitch_bend_c, 0, 8192
1, 63936, Pitch_bend_c, 0, 7276
1, 63961, Pitch_bend_c, 0, 4963
1, 63987, Pitch_bend_c, 0, 3012
1, 64010, Pitch_bend_c, 0, 1494
1, 64038, Pitch_bend_c, 0, 771
1, 64062, Pitch_bend_c, 0, 627
1, 64089, Pitch_bend_c, 0, 916
1, 64115, Pitch_bend_c, 0, 1422
1, 64140, Pitch_bend_c, 0, 1807
1, 64164, Pitch_bend_c, 0, 2265
1, 64190, Pitch_bend_c, 0, 2916
1, 64216, Pitch_bend_c, 0, 3807
1, 64241, Pitch_bend_c, 0, 5060
1, 64267, Pitch_bend_c, 0, 7035
1, 64292, Pitch_bend_c, 0, 8192
1, 66657, Note_on_c, 0, 66, 0
1, 66996, Note_on_c, 0, 63, 80
1, 67060, Note_on_c, 0, 61, 72
1, 67145, Note_on_c, 0, 63, 0
1, 67262, Note_on_c, 0, 63, 76
1, 67372, Note_on_c, 0, 61, 0
1, 70012, Note_on_c, 0, 61, 30
1, 70347, Note_on_c, 0, 63, 0
1, 73962, Note_on_c, 0, 63, 74
1, 74014, Note_on_c, 0, 61, 0
1, 74070, Note_on_c, 0, 66, 78
1, 74300, Note_on_c, 0, 63, 0
1, 74822, Note_on_c, 0, 63, 82
1, 74945, Note_on_c, 0, 66, 0
1, 76404, Note_on_c, 0, 68, 80
1, 76612, Note_on_c, 0, 63, 0
1, 80134, Note_on_c, 0, 68, 0
1, 80392, Note_on_c, 0, 66, 99
1, 81014, Note_on_c, 0, 68, 78
1, 81129, Note_on_c, 0, 66, 0
1, 85710, Note_on_c, 0, 68, 0
1, 86361, Note_on_c, 0, 68, 59
1, 86435, Pitch_bend_c, 0, 7228
1, 86460, Pitch_bend_c, 0, 6409
1, 86486, Pitch_bend_c, 0, 5541
1, 86511, Pitch_bend_c, 0, 4746
1, 86537, Pitch_bend_c, 0, 4313
1, 86562, Pitch_bend_c, 0, 4192
1, 86588, Pitch_bend_c, 0, 4024
1, 86614, Pitch_bend_c, 0, 3927
1, 86640, Pitch_bend_c, 0, 4024
1, 86665, Pitch_bend_c, 0, 3903
1, 86691, Pitch_bend_c, 0, 3735
1, 86716, Pitch_bend_c, 0, 3566
1, 86742, Pitch_bend_c, 0, 3421
1, 86768, Pitch_bend_c, 0, 3253
1, 86819, Pitch_bend_c, 0, 2964
1, 86870, Pitch_bend_c, 0, 2771
1, 86921, Pitch_bend_c, 0, 2337
1, 86946, Pitch_bend_c, 0, 1952
1, 86972, Pitch_bend_c, 0, 1518
1, 86998, Pitch_bend_c, 0, 1133
1, 87049, Pitch_bend_c, 0, 723
1, 87100, Pitch_bend_c, 0, 458
1, 87152, Pitch_bend_c, 0, 362
1, 87203, Pitch_bend_c, 0, 169
1, 87280, Pitch_bend_c, 0, 290
1, 87356, Pitch_bend_c, 0, 169
1, 87408, Pitch_bend_c, 0, 314
1, 87433, Pitch_bend_c, 0, 193
1, 87458, Pitch_bend_c, 0, 410
1, 87484, Pitch_bend_c, 0, 555
1, 87510, Pitch_bend_c, 0, 1085
1, 87535, Pitch_bend_c, 0, 1398
